Method,Matrix Size,Power,Time (milliseconds)
CUDA-Column-wise,1,1,0.001024
CUDA-Column-wise,1,1,0.001024
CUDA-Column-wise,1,1,0.000896
CUDA-Column-wise,1,1,0.001024
CUDA-Column-wise,1,1,0.001024
CUDA-Column-wise,1,1,0.000928
CUDA-Column-wise,1,1,0.001024
CUDA-Column-wise,1,1,0.001824
CUDA-Column-wise,1,1,0.001024
CUDA-Column-wise,1,1,0.000928
CUDA-Column-wise,1,2,0.00512
CUDA-Column-wise,1,2,0.00448
CUDA-Column-wise,1,2,0.005152
CUDA-Column-wise,1,2,0.004832
CUDA-Column-wise,1,2,0.005024
CUDA-Column-wise,1,2,0.005472
CUDA-Column-wise,1,2,0.00512
CUDA-Column-wise,1,2,0.004864
CUDA-Column-wise,1,2,0.004512
CUDA-Column-wise,1,2,0.004512
CUDA-Column-wise,1,5,0.017408
CUDA-Column-wise,1,5,0.01664
CUDA-Column-wise,1,5,0.016384
CUDA-Column-wise,1,5,0.016576
CUDA-Column-wise,1,5,0.016384
CUDA-Column-wise,1,5,0.017408
CUDA-Column-wise,1,5,0.017408
CUDA-Column-wise,1,5,0.016768
CUDA-Column-wise,1,5,0.016448
CUDA-Column-wise,1,5,0.017088
CUDA-Column-wise,1,10,0.036864
CUDA-Column-wise,1,10,0.037056
CUDA-Column-wise,1,10,0.036864
CUDA-Column-wise,1,10,0.036864
CUDA-Column-wise,1,10,0.036864
CUDA-Column-wise,1,10,0.037792
CUDA-Column-wise,1,10,0.036672
CUDA-Column-wise,1,10,0.036832
CUDA-Column-wise,1,10,0.036128
CUDA-Column-wise,1,10,0.03648
CUDA-Column-wise,1,25,0.095296
CUDA-Column-wise,1,25,0.095232
CUDA-Column-wise,1,25,0.095232
CUDA-Column-wise,1,25,0.095264
CUDA-Column-wise,1,25,0.096064
CUDA-Column-wise,1,25,0.096032
CUDA-Column-wise,1,25,0.095488
CUDA-Column-wise,1,25,0.095232
CUDA-Column-wise,1,25,0.095232
CUDA-Column-wise,1,25,0.09824
CUDA-Column-wise,1,50,0.19344
CUDA-Column-wise,1,50,0.192352
CUDA-Column-wise,1,50,0.192512
CUDA-Column-wise,1,50,0.198592
CUDA-Column-wise,1,50,0.193312
CUDA-Column-wise,1,50,0.19968
CUDA-Column-wise,1,50,0.1952
CUDA-Column-wise,1,50,0.199424
CUDA-Column-wise,1,50,0.193568
CUDA-Column-wise,1,50,0.194432
CUDA-Column-wise,1,100,0.391904
CUDA-Column-wise,1,100,0.398208
CUDA-Column-wise,1,100,0.38832
CUDA-Column-wise,1,100,0.38912
CUDA-Column-wise,1,100,0.387072
CUDA-Column-wise,1,100,0.39632
CUDA-Column-wise,1,100,0.393568
CUDA-Column-wise,1,100,0.395264
CUDA-Column-wise,1,100,0.395136
CUDA-Column-wise,1,100,0.391168
CUDA-Column-wise,1,250,0.96784
CUDA-Column-wise,1,250,0.966048
CUDA-Column-wise,1,250,0.964736
CUDA-Column-wise,1,250,0.962304
